CUSTGROUP,customer_name,Month,Year,Qty,Sales
CLINIC-GP,CUST-6150001,Feb,2023,17,447
HOSP-PTE,CUST-6160000,Feb,2023,24,411
CLINIC-SP,CUST-6170000,Feb,2023,0,0
CLINIC-GP,CUST-6180000,Feb,2023,61,320
GROUP-GP,CUST-6190001,Feb,2023,44,1311
CLINIC-GP,CUST-6200000,Feb,2023,39,880
CLINIC-SP,CUST-6210000,Feb,2023,21,269
CLINIC-GP,CUST-6220001,Feb,2023,0,0
CLINIC-GP,CUST-6230001,Feb,2023,20,520
CLINIC-SP,CUST-6240001,Feb,2023,4,135
CLINIC-GP,CUST-6250000,Feb,2023,14,158
CLINIC-SP,CUST-6260000,Feb,2023,0,0
CLINIC-SP,CUST-6270001,Feb,2023,36,905
CLINIC-SP,CUST-6280000,Feb,2023,2,183
CLINIC-SP,CUST-6290001,Feb,2023,21,267
CLINIC-SP,CUST-6300001,Feb,2023,28,595
CLINIC-GP,CUST-6310001,Feb,2023,15,422
GROUP-GP,CUST-6320001,Feb,2023,22,241
CLINIC-GP,CUST-6330000,Feb,2023,11,479
GROUP-GP,CUST-6340001,Feb,2023,15,288
CLINIC-GP,CUST-6350000,Feb,2023,14,180
CLINIC-SP,CUST-6360001,Feb,2023,11,396
CLINIC-GP,CUST-6370001,Feb,2023,0,0
GROUP-GP,CUST-6380001,Feb,2023,0,0
CLINIC-SP,CUST-6390000,Feb,2023,10,215
GROUP-GP,CUST-6400001,Feb,2023,10,84
CLINIC-GP,CUST-6410001,Feb,2023,12,429
CLINIC-GP,CUST-6420000,Feb,2023,25,429
CLINIC-GP,CUST-6430000,Feb,2023,17,285
CLINIC-SP,CUST-6440000,Feb,2023,31,618
SUPERMARKET,CUST-6450000,Feb,2023,20,287
CLINIC-GP,CUST-6460000,Feb,2023,21,570
CLINIC-SP,CUST-6470000,Feb,2023,13,191
CLINIC-GP,CUST-6480001,Feb,2023,31,584
CLINIC-SP,CUST-6490000,Feb,2023,33,1363
CLINIC-SP,CUST-6500000,Feb,2023,0,6
CLINIC-SP,CUST-6510000,Feb,2023,7,401
CLINIC-SP,CUST-6520000,Feb,2023,6,249
CLINIC-SP,CUST-6530001,Feb,2023,6,201
CLINIC-GP,CUST-6540000,Feb,2023,9,224
CLINIC-SP,CUST-6550001,Feb,2023,5,40
CLINIC-SP,CUST-6560001,Feb,2023,35,725
CLINIC-SP,CUST-6570000,Feb,2023,17,565
CLINIC-GP,CUST-6580001,Feb,2023,19,281
CLINIC-GP,CUST-6590000,Feb,2023,36,363
CLINIC-SP,CUST-6600001,Feb,2023,6,119
CLINIC-GP,CUST-6610000,Feb,2023,6,361
CLINIC-SP,CUST-6620001,Feb,2023,0,0
GROUP-GP,CUST-6630000,Feb,2023,46,566
CLINIC-GP,CUST-6640000,Feb,2023,9,252
CLINIC-SP,CUST-6650001,Feb,2023,0,0
CLINIC-SP,CUST-6660000,Feb,2023,13,247
GROUP-GP,CUST-6670001,Feb,2023,2,161
CLINIC-GP,CUST-6680001,Feb,2023,30,282
CLINIC-GP,CUST-6690000,Feb,2023,6,169
CLINIC-GP,CUST-6700000,Feb,2023,41,902
CLINIC-SP,CUST-6710001,Feb,2023,19,237
CLINIC-GP,CUST-6720001,Feb,2023,16,201
CLINIC-GP,CUST-6730000,Feb,2023,20,438
CLINIC-GP,CUST-6740001,Feb,2023,16,193
CLINIC-SP,CUST-6750000,Feb,2023,17,172
CLINIC-GP,CUST-6760000,Feb,2023,14,241
GROUP-GP,CUST-6770001,Feb,2023,26,564
CLINIC-GP,CUST-6780000,Feb,2023,18,402
CLINIC-GP,CUST-6790001,Feb,2023,0,0
CLINIC-GP,CUST-6800001,Feb,2023,2,86
CLINIC-GP,CUST-6810000,Feb,2023,12,413
GROUP-GP,CUST-6820001,Feb,2023,11,504
CLINIC-DEN,CUST-6830001,Feb,2023,5,481
CLINIC-SP,CUST-6840000,Feb,2023,10,592
GROUP-GP,CUST-6850001,Feb,2023,32,876
GROUP-GP,CUST-6860000,Feb,2023,6,324
CLINIC-GP,CUST-6870001,Feb,2023,74,1998
CLINIC-SP,CUST-6880001,Feb,2023,17,704
CLINIC-SP,CUST-6890001,Feb,2023,22,188
CLINIC-GP,CUST-6900001,Feb,2023,0,0
CLINIC-GP,CUST-6910001,Feb,2023,19,237
CLINIC-SP,CUST-6920001,Feb,2023,8,361
CLINIC-GP,CUST-6930001,Feb,2023,4,144
CLINIC-SP,CUST-6940000,Feb,2023,14,740
CLINIC-SP,CUST-6950000,Feb,2023,12,419
CLINIC-SP,CUST-6960000,Feb,2023,19,240
CLINIC-SP,CUST-6970001,Feb,2023,17,238
CLINIC-SP,CUST-6980001,Feb,2023,4,244
OTHERS,CUST-6990001,Feb,2023,8,111
CLINIC-SP,CUST-7000001,Feb,2023,10,411
CLINIC-SP,CUST-7010001,Feb,2023,6,116
CLINIC-GP,CUST-7020000,Feb,2023,14,320
CLINIC-SP,CUST-7030001,Feb,2023,8,441
GROUP-GP,CUST-7040001,Feb,2023,20,311
CLINIC-SP,CUST-7050000,Feb,2023,11,294
CLINIC-SP,CUST-7060000,Feb,2023,25,335
GROUP-GP,CUST-7070000,Feb,2023,17,471
CLINIC-SP,CUST-7080001,Feb,2023,2,44
CLINIC-SP,CUST-7090001,Feb,2023,25,459
CLINIC-SP,CUST-7100000,Feb,2023,0,0
CLINIC-SP,CUST-7110001,Feb,2023,9,543
OTHERS,CUST-7120000,Feb,2023,3,79
CLINIC-DEN,CUST-7130001,Feb,2023,14,687
CLINIC-GP,CUST-7140000,Feb,2023,11,309
CLINIC-SP,CUST-7150001,Feb,2023,0,0
GROUP-GP,CUST-7160001,Feb,2023,13,658
CLINIC-SP,CUST-7170000,Feb,2023,4,81
CLINIC-SP,CUST-7180000,Feb,2023,0,0
CLINIC-SP,CUST-7190001,Feb,2023,4,245
CLINIC-SP,CUST-7200001,Feb,2023,13,266
CLINIC-GP,CUST-7210001,Feb,2023,6,204
CLINIC-SP,CUST-7220001,Feb,2023,3,154
CLINIC-GP,CUST-7230000,Feb,2023,27,476
CLINIC-GP,CUST-7240001,Feb,2023,5,118
PH-RETAILS,CUST-7250001,Feb,2023,53,823
CLINIC-DEN,CUST-7260000,Feb,2023,0,0
CLINIC-GP,CUST-7270001,Feb,2023,12,163
CLINIC-SP,CUST-7280001,Feb,2023,4,108
CLINIC-GP,CUST-7290000,Feb,2023,10,131
CLINIC-SP,CUST-7300001,Feb,2023,22,251
CLINIC-SP,CUST-7310001,Feb,2023,43,617
CLINIC-SP,CUST-7320000,Feb,2023,42,994
CLINIC-SP,CUST-7330000,Feb,2023,14,317
CLINIC-SP,CUST-7340000,Feb,2023,2,43
CLINIC-GP,CUST-7350001,Feb,2023,35,563
CLINIC-GP,CUST-7360001,Feb,2023,10,170
CLINIC-SP,CUST-7370000,Feb,2023,0,0
CLINIC-SP,CUST-7380001,Feb,2023,26,773
CLINIC-SP,CUST-7390001,Feb,2023,10,45
CLINIC-SP,CUST-7400001,Feb,2023,0,0
CLINIC-GP,CUST-7410001,Feb,2023,20,520
CLINIC-GP,CUST-7420000,Feb,2023,7,288
CLINIC-SP,CUST-7430000,Feb,2023,0,0
CLINIC-GP,CUST-7440000,Feb,2023,12,152
CLINIC-SP,CUST-7450001,Feb,2023,0,0
CLINIC-GP,CUST-7460000,Feb,2023,19,293
CLINIC-GP,CUST-7470000,Feb,2023,1,56
CLINIC-SP,CUST-7480000,Feb,2023,2,129
CLINIC-SP,CUST-7490000,Feb,2023,0,0
CLINIC-GP,CUST-7500001,Feb,2023,296,2986
CLINIC-GP,CUST-7510000,Feb,2023,5,50
CLINIC-GP,CUST-7520000,Feb,2023,39,465
GROUP-GP,CUST-7530000,Feb,2023,0,0
CLINIC-SP,CUST-7540001,Feb,2023,18,941
CLINIC-GP,CUST-7550000,Feb,2023,28,165
OTHERS,CUST-7560001,Feb,2023,0,0
CLINIC-SP,CUST-7570000,Feb,2023,0,0
CLINIC-SP,CUST-7580001,Feb,2023,24,605
CLINIC-SP,CUST-7590001,Feb,2023,15,278
CLINIC-GP,CUST-7600001,Feb,2023,35,772
CLINIC-GP,CUST-7610000,Feb,2023,63,801
CLINIC-SP,CUST-7620000,Feb,2023,19,296
CLINIC-SP,CUST-7630000,Feb,2023,8,139
CLINIC-SP,CUST-7640001,Feb,2023,15,220
CLINIC-GP,CUST-7650001,Feb,2023,2,83
CLINIC-SP,CUST-7660000,Feb,2023,5,200
CLINIC-GP,CUST-7670001,Feb,2023,25,526
CLINIC-SP,CUST-7680000,Feb,2023,0,0
CLINIC-GP,CUST-7690000,Feb,2023,6,127
CLINIC-SP,CUST-7700001,Feb,2023,0,0
CLINIC-GP,CUST-7710001,Feb,2023,29,210
CLINIC-SP,CUST-7720001,Feb,2023,1,169
CLINIC-SP,CUST-7730001,Feb,2023,14,363
PH-RETAILS,CUST-7740001,Feb,2023,30,595
CLINIC-SP,CUST-7750001,Feb,2023,4,41
CLINIC-SP,CUST-7760000,Feb,2023,23,430
CLINIC-GP,CUST-7770000,Feb,2023,27,371
CLINIC-SP,CUST-7780001,Feb,2023,4,215
GROUP-GP,CUST-7790001,Feb,2023,6,85
CLINIC-SP,CUST-7800001,Feb,2023,15,297
CLINIC-SP,CUST-7810001,Feb,2023,23,372
CLINIC-SP,CUST-7820000,Feb,2023,6,271
CLINIC-SP,CUST-7830001,Feb,2023,0,0
CLINIC-SP,CUST-7840000,Feb,2023,6,277
PH-RETAILS,CUST-7850000,Feb,2023,23,183
CLINIC-GP,CUST-7860000,Feb,2023,6,161
CLINIC-GP,CUST-7870001,Feb,2023,18,217
CLINIC-SP,CUST-7880001,Feb,2023,0,0
CLINIC-SP,CUST-7890000,Feb,2023,14,307
GROUP-GP,CUST-7900000,Feb,2023,12,136
GROUP-GP,CUST-7910001,Feb,2023,14,224
CLINIC-SP,CUST-7920000,Feb,2023,31,353
CLINIC-SP,CUST-7930001,Feb,2023,3,514
CLINIC-GP,CUST-7940001,Feb,2023,15,365
GROUP-GP,CUST-7950001,Feb,2023,13,478
CLINIC-SP,CUST-7960001,Feb,2023,0,0
CLINIC-SP,CUST-7970000,Feb,2023,16,156
CLINIC-SP,CUST-7980001,Feb,2023,14,356
CLINIC-SP,CUST-7990001,Feb,2023,0,0
CLINIC-GP,CUST-8000001,Feb,2023,14,202
GROUP-GP,CUST-8010000,Feb,2023,4,407
CLINIC-GP,CUST-8020001,Feb,2023,10,217
CLINIC-SP,CUST-8030000,Feb,2023,0,0
CLINIC-SP,CUST-8040000,Feb,2023,0,0
CLINIC-SP,CUST-8050001,Feb,2023,3,89
CLINIC-SP,CUST-8060001,Feb,2023,0,0
CLINIC-SP,CUST-8070000,Feb,2023,12,218
CLINIC-GP,CUST-8080000,Feb,2023,0,0
GROUP-GP,CUST-8090000,Feb,2023,15,338
CLINIC-GP,CUST-8100000,Feb,2023,28,327
CLINIC-SP,CUST-8110000,Feb,2023,37,755
CLINIC-GP,CUST-8120000,Feb,2023,2,131
CLINIC-SP,CUST-8130000,Feb,2023,2,186
CLINIC-SP,CUST-8140000,Feb,2023,0,0
CLINIC-SP,CUST-8150001,Feb,2023,6,277
CLINIC-SP,CUST-8160001,Feb,2023,3,80
CLINIC-GP,CUST-8170001,Feb,2023,6,245
CLINIC-GP,CUST-8180001,Feb,2023,7,326
OTHERS,CUST-8190001,Feb,2023,0,0
CLINIC-GP,CUST-8200001,Feb,2023,28,561
CLINIC-GP,CUST-8210001,Feb,2023,19,707
CLINIC-GP,CUST-8220000,Feb,2023,20,322
CLINIC-GP,CUST-8230000,Feb,2023,5,131
CLINIC-SP,CUST-8240000,Feb,2023,8,97
CLINIC-SP,CUST-8250000,Feb,2023,8,163
CLINIC-GP,CUST-8260001,Feb,2023,14,348
CLINIC-GP,CUST-8270000,Feb,2023,12,132
CLINIC-GP,CUST-8280000,Feb,2023,9,138
CLINIC-GP,CUST-8290001,Feb,2023,16,404
CLINIC-SP,CUST-8300001,Feb,2023,13,150
CLINIC-SP,CUST-8310001,Feb,2023,10,177
CLINIC-GP,CUST-8320001,Feb,2023,8,152
GROUP-GP,CUST-8330000,Feb,2023,7,172
CLINIC-GP,CUST-8340001,Feb,2023,14,206
CLINIC-GP,CUST-8350001,Feb,2023,6,327
CLINIC-SP,CUST-8360001,Feb,2023,0,0
CLINIC-GP,CUST-8370000,Feb,2023,13,326
CLINIC-GP,CUST-8380001,Feb,2023,22,182
CLINIC-SP,CUST-8390000,Feb,2023,6,159
CLINIC-GP,CUST-8400001,Feb,2023,8,243
CLINIC-SP,CUST-8410000,Feb,2023,2,66
CLINIC-GP,CUST-8420000,Feb,2023,33,617
CLINIC-SP,CUST-8430000,Feb,2023,20,755
CLINIC-SP,CUST-8440000,Feb,2023,2,39
CLINIC-SP,CUST-8450000,Feb,2023,4,404
CLINIC-SP,CUST-8460000,Feb,2023,11,341
CLINIC-SP,CUST-8470001,Feb,2023,0,21
GROUP-GP,CUST-8480000,Feb,2023,48,675
CLINIC-GP,CUST-8490000,Feb,2023,23,327
CLINIC-GP,CUST-8500001,Feb,2023,11,492
CLINIC-SP,CUST-8510000,Feb,2023,5,111
GROUP-GP,CUST-8520001,Feb,2023,11,244
CLINIC-SP,CUST-8530000,Feb,2023,0,0
CLINIC-GP,CUST-8540000,Feb,2023,15,477
CLINIC-SP,CUST-8550000,Feb,2023,2,365
CLINIC-SP,CUST-8560000,Feb,2023,0,0
CLINIC-SP,CUST-8570000,Feb,2023,1,65
CLINIC-SP,CUST-8580000,Feb,2023,11,478
CLINIC-SP,CUST-8590001,Feb,2023,0,0
CLINIC-SP,CUST-8600001,Feb,2023,53,798
CLINIC-GP,CUST-8610000,Feb,2023,1,72
CLINIC-SP,CUST-8620000,Feb,2023,16,1092
CLINIC-GP,CUST-8630000,Feb,2023,0,0
CLINIC-SP,CUST-8640000,Feb,2023,6,264
CLINIC-GP,CUST-8650000,Feb,2023,18,597
CLINIC-SP,CUST-8660000,Feb,2023,32,409
CLINIC-SP,CUST-8670001,Feb,2023,22,252
CLINIC-SP,CUST-8680001,Feb,2023,3,221
CLINIC-SP,CUST-8690000,Feb,2023,0,0
CLINIC-SP,CUST-8700000,Feb,2023,2,126
CLINIC-GP,CUST-8710001,Feb,2023,10,190
CLINIC-GP,CUST-8720001,Feb,2023,7,172
CLINIC-GP,CUST-8730000,Feb,2023,0,0
CLINIC-SP,CUST-8740001,Feb,2023,1,54
CLINIC-SP,CUST-8750000,Feb,2023,2,110
CLINIC-GP,CUST-8760000,Feb,2023,17,161
CLINIC-SP,CUST-8770001,Feb,2023,22,638
CLINIC-SP,CUST-8780000,Feb,2023,2,43
GROUP-GP,CUST-8790001,Feb,2023,12,591
CLINIC-GP,CUST-8800000,Feb,2023,25,774
CLINIC-GP,CUST-8810001,Feb,2023,9,203
GROUP-GP,CUST-8820000,Feb,2023,8,1097
CLINIC-GP,CUST-8830000,Feb,2023,0,0
CLINIC-SP,CUST-8840000,Feb,2023,3,46
CLINIC-GP,CUST-8850000,Feb,2023,21,317
CLINIC-GP,CUST-8860000,Feb,2023,6,142
CLINIC-GP,CUST-8870000,Feb,2023,12,188
CLINIC-GP,CUST-8880000,Feb,2023,4,124
CLINIC-SP,CUST-8890001,Feb,2023,6,101
CLINIC-GP,CUST-8900001,Feb,2023,14,273
CLINIC-GP,CUST-8910000,Feb,2023,0,0
CLINIC-GP,CUST-8920000,Feb,2023,0,0
CLINIC-SP,CUST-8930000,Feb,2023,21,291
CLINIC-GP,CUST-8940000,Feb,2023,8,346
CLINIC-GP,CUST-8950001,Feb,2023,23,237
CLINIC-GP,CUST-8960000,Feb,2023,22,311
CLINIC-SP,CUST-8970001,Feb,2023,0,0
CLINIC-DEN,CUST-8980000,Feb,2023,1,43
GROUP-GP,CUST-8990000,Feb,2023,2,45
CLINIC-SP,CUST-9000000,Feb,2023,5,136
CLINIC-SP,CUST-9010000,Feb,2023,8,98
CLINIC-SP,CUST-9020001,Feb,2023,0,0
CLINIC-SP,CUST-9030001,Feb,2023,2,369
CLINIC-SP,CUST-9040000,Feb,2023,1,76
GROUP-GP,CUST-9050001,Feb,2023,11,181
CLINIC-GP,CUST-9060001,Feb,2023,7,273
CLINIC-SP,CUST-9070000,Feb,2023,33,408
CLINIC-GP,CUST-9080000,Feb,2023,21,589
CLINIC-GP,CUST-9090001,Feb,2023,20,566
CLINIC-GP,CUST-9100000,Feb,2023,10,176
CLINIC-GP,CUST-9110001,Feb,2023,0,0
CLINIC-SP,CUST-9120001,Feb,2023,9,72
CLINIC-GP,CUST-9130000,Feb,2023,0,0
CLINIC-SP,CUST-9140001,Feb,2023,72,683
CLINIC-SP,CUST-9150001,Feb,2023,9,62
CLINIC-SP,CUST-9160001,Feb,2023,0,0
CLINIC-SP,CUST-9170001,Feb,2023,0,0
CLINIC-GP,CUST-9180001,Feb,2023,15,224
CLINIC-SP,CUST-9190000,Feb,2023,0,0
CLINIC-GP,CUST-9200001,Feb,2023,19,194
CLINIC-GP,CUST-9210000,Feb,2023,0,0
CLINIC-GP,CUST-9220000,Feb,2023,2,68
CLINIC-GP,CUST-9230000,Feb,2023,16,281
GROUP-GP,CUST-9240001,Feb,2023,0,0
CLINIC-SP,CUST-9250000,Feb,2023,6,279
CLINIC-SP,CUST-9260001,Feb,2023,0,0
CLINIC-GP,CUST-9270000,Feb,2023,62,315
CLINIC-GP,CUST-9280001,Feb,2023,0,0
OTHERS,CUST-9290001,Feb,2023,11,131
GROUP-GP,CUST-9300001,Feb,2023,16,359
CLINIC-GP,CUST-9310000,Feb,2023,8,160
GROUP-GP,CUST-9320000,Feb,2023,5,74
CLINIC-GP,CUST-9330001,Feb,2023,10,221
CLINIC-DEN,CUST-9340001,Feb,2023,6,250
CLINIC-GP,CUST-9350000,Feb,2023,13,257
CLINIC-GP,CUST-9360001,Feb,2023,7,173
CLINIC-SP,CUST-9370001,Feb,2023,10,169
CLINIC-SP,CUST-9380001,Feb,2023,2,127
CLINIC-GP,CUST-9390001,Feb,2023,2,69
CLINIC-GP,CUST-9400001,Feb,2023,28,275
CLINIC-SP,CUST-9410000,Feb,2023,0,0
CLINIC-GP,CUST-9420000,Feb,2023,25,376
CLINIC-GP,CUST-9430001,Feb,2023,9,241
CLINIC-GP,CUST-9440000,Feb,2023,2,40
GROUP-GP,CUST-9450000,Feb,2023,4,76
CLINIC-SP,CUST-9460001,Feb,2023,10,237
CLINIC-GP,CUST-9470001,Feb,2023,2,102
CLINIC-SP,CUST-9480001,Feb,2023,0,0
CLINIC-SP,CUST-9490000,Feb,2023,0,0
CLINIC-SP,CUST-9500001,Feb,2023,12,118
CLINIC-SP,CUST-9510001,Feb,2023,12,92
CLINIC-SP,CUST-9520001,Feb,2023,5,340
CLINIC-GP,CUST-9530000,Feb,2023,0,0
CLINIC-SP,CUST-9540001,Feb,2023,0,0
CLINIC-SP,CUST-9550001,Feb,2023,0,0
CLINIC-DEN,CUST-9560000,Feb,2023,8,166
CLINIC-SP,CUST-9570000,Feb,2023,1,49
CLINIC-SP,CUST-9580000,Feb,2023,17,335
CLINIC-SP,CUST-9590001,Feb,2023,29,239
CLINIC-SP,CUST-9600001,Feb,2023,0,0
OTHERS,CUST-9610001,Feb,2023,42,244
OTHERS,CUST-9620000,Feb,2023,0,0
CLINIC-GP,CUST-9630000,Feb,2023,33,520
CLINIC-GP,CUST-9640000,Feb,2023,8,167
CLINIC-SP,CUST-9650000,Feb,2023,7,40
CLINIC-GP,CUST-9660001,Feb,2023,20,390
GROUP-GP,CUST-9670000,Feb,2023,0,0
CLINIC-SP,CUST-9680001,Feb,2023,0,0
CLINIC-GP,CUST-9690000,Feb,2023,0,83
CLINIC-SP,CUST-9700000,Feb,2023,5,169
GROUP-GP,CUST-9710001,Feb,2023,4,26
CLINIC-SP,CUST-9720001,Feb,2023,7,135
CLINIC-DEN,CUST-9730000,Feb,2023,30,435
GROUP-GP,CUST-9740001,Feb,2023,0,0
CLINIC-SP,CUST-9750001,Feb,2023,4,270
CLINIC-GP,CUST-9760001,Feb,2023,14,234
CLINIC-SP,CUST-9770001,Feb,2023,0,0
CLINIC-SP,CUST-9780001,Feb,2023,5,210
CLINIC-GP,CUST-9790001,Feb,2023,7,143
CLINIC-SP,CUST-9800001,Feb,2023,15,727
CLINIC-SP,CUST-9810000,Feb,2023,9,395
CLINIC-SP,CUST-9820001,Feb,2023,10,204
CLINIC-GP,CUST-9830000,Feb,2023,11,274
CLINIC-GP,CUST-9840000,Feb,2023,66,924
CLINIC-SP,CUST-9850001,Feb,2023,10,569
CLINIC-GP,CUST-9860000,Feb,2023,2,74
CLINIC-SP,CUST-9870000,Feb,2023,4,110
CLINIC-SP,CUST-9880000,Feb,2023,0,0
CLINIC-SP,CUST-9890000,Feb,2023,0,0
OTHERS,CUST-9900000,Feb,2023,43,229
CLINIC-GP,CUST-9910000,Feb,2023,45,440
CLINIC-SP,CUST-9920000,Feb,2023,4,98
GROUP-GP,CUST-9930001,Feb,2023,2,76
CLINIC-SP,CUST-9940000,Feb,2023,14,233
CLINIC-SP,CUST-9950001,Feb,2023,0,0
CLINIC-GP,CUST-9960000,Feb,2023,4,336
CLINIC-SP,CUST-9970001,Feb,2023,4,52
CLINIC-SP,CUST-9980000,Feb,2023,0,0
CLINIC-SP,CUST-9990000,Feb,2023,8,145
GROUP-GP,CUST-10000001,Feb,2023,0,0
CLINIC-SP,CUST-10010000,Feb,2023,0,0
CLINIC-SP,CUST-10020000,Feb,2023,1,55
CLINIC-SP,CUST-10030000,Feb,2023,1,62
CLINIC-SP,CUST-10040001,Feb,2023,8,163
CLINIC-SP,CUST-10050001,Feb,2023,15,194
CLINIC-GP,CUST-10060001,Feb,2023,3,125
CLINIC-SP,CUST-10070001,Feb,2023,5,104
CLINIC-SP,CUST-10080001,Feb,2023,6,303
GROUP-GP,CUST-10090001,Feb,2023,5,133
CLINIC-SP,CUST-10100001,Feb,2023,27,457
CLINIC-SP,CUST-10110000,Feb,2023,8,197
OTHERS,CUST-10120000,Feb,2023,0,0
CLINIC-GP,CUST-10130001,Feb,2023,14,362
CLINIC-SP,CUST-10140001,Feb,2023,3,54
CLINIC-GP,CUST-10150001,Feb,2023,40,774
CLINIC-DEN,CUST-10160000,Feb,2023,2,143
CLINIC-GP,CUST-10170000,Feb,2023,9,164
GROUP-GP,CUST-10180000,Feb,2023,2,33
CLINIC-DEN,CUST-10190001,Feb,2023,2,158
CLINIC-GP,CUST-10200001,Feb,2023,11,264
CLINIC-GP,CUST-10210001,Feb,2023,10,78
CLINIC-SP,CUST-10220001,Feb,2023,4,68
CLINIC-SP,CUST-10230000,Feb,2023,13,194
CLINIC-SP,CUST-10240001,Feb,2023,6,136
CLINIC-GP,CUST-10250001,Feb,2023,14,281
CLINIC-GP,CUST-10260001,Feb,2023,7,282
CLINIC-SP,CUST-10270000,Feb,2023,14,201
OTHERS,CUST-10280000,Feb,2023,33,204
CLINIC-SP,CUST-10290000,Feb,2023,2,70
CLINIC-SP,CUST-10300000,Feb,2023,0,0
CLINIC-GP,CUST-10310001,Feb,2023,0,0
CLINIC-SP,CUST-10320001,Feb,2023,0,0
CLINIC-SP,CUST-10330000,Feb,2023,37,448
GROUP-GP,CUST-10340001,Feb,2023,1,36
CLINIC-GP,CUST-10350001,Feb,2023,18,179
GROUP-GP,CUST-10360000,Feb,2023,0,0
CLINIC-GP,CUST-10370001,Feb,2023,0,0
CLINIC-GP,CUST-10380000,Feb,2023,17,137
CLINIC-SP,CUST-10390000,Feb,2023,2,153
GROUP-GP,CUST-10400001,Feb,2023,34,711
CLINIC-SP,CUST-10410000,Feb,2023,6,120
CLINIC-SP,CUST-10420000,Feb,2023,0,0
CLINIC-GP,CUST-10430001,Feb,2023,8,188
CLINIC-GP,CUST-10440001,Feb,2023,10,185
CLINIC-SP,CUST-10450001,Feb,2023,8,289
GROUP-GP,CUST-10460000,Feb,2023,23,433
CLINIC-SP,CUST-10470001,Feb,2023,0,0
CLINIC-GP,CUST-10480001,Feb,2023,33,195
CLINIC-GP,CUST-10490000,Feb,2023,18,172
CLINIC-SP,CUST-10500001,Feb,2023,0,0
GROUP-GP,CUST-10510000,Feb,2023,12,277
GROUP-GP,CUST-10520001,Feb,2023,0,0
CLINIC-GP,CUST-10530000,Feb,2023,7,312
CLINIC-GP,CUST-10540001,Feb,2023,15,194
CLINIC-SP,CUST-10550000,Feb,2023,0,0
CLINIC-GP,CUST-10560000,Feb,2023,2,148
CLINIC-SP,CUST-10570001,Feb,2023,0,0
CLINIC-SP,CUST-10580000,Feb,2023,4,146
CLINIC-SP,CUST-10590001,Feb,2023,8,494
GROUP-GP,CUST-10600001,Feb,2023,8,215
CLINIC-SP,CUST-10610001,Feb,2023,0,23
CLINIC-SP,CUST-10620000,Feb,2023,0,0
CLINIC-SP,CUST-10630001,Feb,2023,0,0
GROUP-GP,CUST-10640000,Feb,2023,5,43
CLINIC-SP,CUST-10650000,Feb,2023,4,296
CLINIC-GP,CUST-10660000,Feb,2023,7,260
CLINIC-SP,CUST-10670000,Feb,2023,0,0
CLINIC-SP,CUST-10680000,Feb,2023,0,0
CLINIC-SP,CUST-10690000,Feb,2023,6,210
CLINIC-GP,CUST-10700001,Feb,2023,14,392
CLINIC-GP,CUST-10710001,Feb,2023,9,179
CLINIC-GP,CUST-10720000,Feb,2023,12,97
CLINIC-GP,CUST-10730000,Feb,2023,13,268
CLINIC-SP,CUST-10740001,Feb,2023,0,0
CLINIC-SP,CUST-10750001,Feb,2023,0,0
GROUP-GP,CUST-10760001,Feb,2023,3,149
CLINIC-GP,CUST-10770001,Feb,2023,3,156
GROUP-GP,CUST-10780001,Feb,2023,18,540
CLINIC-SP,CUST-10790000,Feb,2023,4,135
CLINIC-SP,CUST-10800000,Feb,2023,8,145
CLINIC-GP,CUST-10810001,Feb,2023,6,88
CLINIC-SP,CUST-10820001,Feb,2023,1,98
CLINIC-SP,CUST-10830000,Feb,2023,21,96
CLINIC-SP,CUST-10840000,Feb,2023,14,158
CLINIC-SP,CUST-10850000,Feb,2023,0,0
CLINIC-SP,CUST-10860000,Feb,2023,14,520
CLINIC-GP,CUST-10870001,Feb,2023,9,200
GROUP-GP,CUST-10880000,Feb,2023,0,0
CLINIC-SP,CUST-10890000,Feb,2023,3,174
CLINIC-SP,CUST-10900000,Feb,2023,6,615
OTHERS,CUST-10910000,Feb,2023,1,3582
GROUP-GP,CUST-10920001,Feb,2023,3,196
CLINIC-SP,CUST-10930001,Feb,2023,0,0
CLINIC-GP,CUST-10940001,Feb,2023,0,0
CLINIC-SP,CUST-10950001,Feb,2023,0,0
CLINIC-DEN,CUST-10960000,Feb,2023,8,195
CLINIC-GP,CUST-10970001,Feb,2023,20,391
OTHERS,CUST-10980001,Feb,2023,20,189
CLINIC-SP,CUST-10990001,Feb,2023,0,0
CLINIC-GP,CUST-11000001,Feb,2023,0,0
CLINIC-GP,CUST-11010001,Feb,2023,6,36
CLINIC-GP,CUST-11020000,Feb,2023,1,83
GROUP-GP,CUST-11030000,Feb,2023,8,151
CLINIC-GP,CUST-11040000,Feb,2023,1,62
CLINIC-SP,CUST-11050000,Feb,2023,1,151
CLINIC-GP,CUST-11060001,Feb,2023,29,226
CLINIC-GP,CUST-11070001,Feb,2023,0,0
CLINIC-DEN,CUST-11080000,Feb,2023,4,44
GROUP-GP,CUST-11090000,Feb,2023,40,702
CLINIC-SP,CUST-11100000,Feb,2023,0,0
CLINIC-GP,CUST-11110001,Feb,2023,0,0
GROUP-GP,CUST-11120001,Feb,2023,7,119
CLINIC-SP,CUST-11130000,Feb,2023,8,96
CLINIC-GP,CUST-11140001,Feb,2023,0,0
CLINIC-SP,CUST-11150001,Feb,2023,1,78
